Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00501,0.00355,0.00071,0.00036,0.00036,0.00024,0.00110,0.00000,0.00008,0.00000,0.00000,0.00024,0.00004,0.00079,0.00036,0.00272,0.00032,0.00087,,0.00422,,0.00012,0.00043,,,206.09756,25350,4236,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.3.tess,123,
0.00279,0.00316,0.00058,0.00092,0.00092,0.00025,0.00086,0.00000,0.00000,0.00000,0.00000,0.00018,0.00003,0.00068,0.00025,0.00255,0.00058,0.00083,,0.00285,,0.00031,0.00025,,,227.83217,32580,5275,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.4.tess,143,
0.00417,0.00495,0.00025,0.00110,0.00110,0.00042,0.00092,0.00004,0.00004,0.00000,0.00000,0.00025,0.00000,0.00099,0.00074,0.00241,0.00074,0.00064,,0.00322,,0.00014,0.00028,,,169.29940,28273,4764,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.5.tess,167,
0.00364,0.00314,0.00025,0.00065,0.00065,0.00040,0.00094,0.00000,0.00000,0.00004,0.00000,0.00032,0.00007,0.00050,0.00043,0.00227,0.00119,0.00054,,0.00324,,0.00022,0.00032,,,167.15663,27748,4684,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.6.tess,166,
0.00442,0.00385,0.00061,0.00061,0.00061,0.00038,0.00103,0.00027,0.00000,0.00000,0.00000,0.00015,0.00015,0.00080,0.00046,0.00213,0.00065,0.00122,,0.00270,,0.00034,0.00030,,,190.34058,26267,4244,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.7.tess,138,
0.00255,0.00377,0.00077,0.00093,0.00093,0.00061,0.00064,0.00010,0.00003,0.00000,0.00000,0.00019,0.00013,0.00055,0.00026,0.00271,0.00045,0.00090,,0.00312,,0.00023,0.00013,,,180.47093,31041,5012,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.8.tess,172,
0.00243,0.00478,0.00074,0.00105,0.00105,0.00031,0.00083,0.00012,0.00000,0.00000,0.00000,0.00024,0.00007,0.00107,0.00031,0.00286,0.00038,0.00095,,0.00297,,0.00010,0.00019,,,198.23113,42025,6745,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.9.tess,212,
0.00021,0.00300,0.00010,0.00280,0.00280,0.00073,0.00093,0.00000,0.00000,0.00010,0.00000,0.00000,0.00000,0.00155,0.00259,0.00321,0.00021,0.00021,,0.00311,,0.00062,0.00062,,,144.05970,9652,1814,tesserae/texts/la/aristotle.economics_book_3.tess,67,
0.00221,0.00674,0.00022,0.00054,0.00054,0.00067,0.00114,0.00014,0.00004,0.00004,0.00000,0.00019,0.00000,0.00285,0.00204,0.00332,0.00152,0.00036,,0.00866,,0.00140,0.00068,,,136.45351,71911,13155,tesserae/texts/la/augustine.de_doctrina_christiana/augustine.de_doctrina_christiana.part.4.tess,527,
0.00597,0.00679,0.00020,0.00070,0.00070,0.00057,0.00116,0.00030,0.00001,0.00004,0.00000,0.00014,0.00000,0.00244,0.00230,0.00431,0.00084,0.00103,,0.00807,,0.00083,0.00059,,,149.69095,263015,48010,tesserae/texts/la/augustine.epistulae_selections.tess,1757,
0.00623,0.00661,0.00023,0.00047,0.00047,0.00049,0.00095,0.00030,0.00000,0.00002,0.00000,0.00015,0.00000,0.00233,0.00235,0.00379,0.00106,0.00095,,0.00848,,0.00076,0.00083,,,136.77681,47194,8535,tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.1.1-10.tess,345,
0.00665,0.00564,0.00029,0.00043,0.00043,0.00058,0.00111,0.00048,0.00000,0.00005,0.00005,0.00034,0.00000,0.00246,0.00284,0.00366,0.00125,0.00087,,0.00708,,0.00067,0.00072,,,135.70588,20763,3825,tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.2.11-20.tess,153,
0.00587,0.00699,0.00026,0.00055,0.00055,0.00076,0.00102,0.00026,0.00000,0.00010,0.00000,0.00016,0.00000,0.00244,0.00199,0.00437,0.00047,0.00160,,0.00864,,0.00055,0.00060,,,168.99115,38192,6831,tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.3.21-30.tess,226,
0.00564,0.00676,0.00011,0.00058,0.00058,0.00043,0.00101,0.00030,0.00004,0.00004,0.00000,0.00011,0.00000,0.00232,0.00232,0.00405,0.00080,0.00131,,0.00742,,0.00069,0.00047,,,146.11635,46467,8347,tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.4.31-40.tess,318,
